,video_link,title,views,uploaded_date,likes,dislikes
0,https://www.youtube.com/watch?v=OzglcGQHUKE,Steven Wilson - Stoneage Dinosaurs (Cardiacs Cover),20322,22-Jul-20,1990,25
1,https://www.youtube.com/watch?v=qFwcahcDzP4,Steven Wilson - Ancestral (from Home Invasion: In Concert at the Royal Albert Hall),120684,14-May-20,5585,32
2,https://www.youtube.com/watch?v=ycYewhiaVBk,Steven Wilson - Drive Home,6564391,20-Sep-13,67291,907
3,https://www.youtube.com/watch?v=cNTaFArEObU,Steven Wilson - Pariah ft. Ninet Tayeb,4146061,18-May-17,43235,1082
4,https://www.youtube.com/watch?v=O_H0NO-Cyew,STEVEN WILSON - PERSONAL SHOPPER (OFFICIAL AUDIO),523062,12-Mar-20,13218,955
5,https://www.youtube.com/watch?v=sh5mWzKlhQY,Steven Wilson - Routine,3948601,29-Oct-15,49661,698
6,https://www.youtube.com/watch?v=WbWhpfXisZw,Porcupine Tree   Arriving somewhere but not here,6219330,14-Feb-11,42252,1065
7,https://www.youtube.com/watch?v=nTjc1sPktlY,Lazarus- Porcupine Tree (Lyrics),4515034,7-Feb-11,35254,649
8,https://www.youtube.com/watch?v=_nKN9_H1Dks,Porcupine Tree - Russia on Ice,2068994,16-Nov-12,16705,304
9,https://www.youtube.com/watch?v=qf4ejxFXTRU,Steven Wilson - Drive Home (from Drive Home),115750,23-Sep-13,1102,11
10,https://www.youtube.com/watch?v=gOU_zWdhAoE,Steven Wilson - Perfect Life,3997926,4-Feb-15,25792,713
11,https://www.youtube.com/watch?v=K0gryiltJo0,Steven Wilson - Permanating (Official Video),1294487,21-Jul-17,15254,995
12,https://www.youtube.com/watch?v=u4XevlloPY4,Steven Wilson - The Raven that Refused to Sing,1265091,11-Feb-13,15952,132
13,https://www.youtube.com/watch?v=W3lsqUqGTzM,Porcupine Tree - Arriving Somewhere But Not Here (Live),4671295,21-Apr-14,39737,684
14,https://www.youtube.com/watch?v=MPcoUCFAVcQ,Steven Wilson - People Who Eat Darkness,513434,31-Oct-18,15466,232
15,https://www.youtube.com/watch?v=5UVIpBVVQFk,Hand. Cannot. Erase. - Steven Wilson(Full Album)(HD),408226,30-Dec-17,3717,104
16,https://www.youtube.com/watch?v=T0dLypToLzE,Steven Wilson - Refuge (Lyric Video),1718627,3-Aug-17,16427,395
